datetime,symbol,open,high,low,close,MA12,MA26,RSI14,ATR14,EMA12,EMA26,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,high_open_dist,open_low_dist,body_size,upper_wick,lower_wick,body_ratio,wick_ratio_upper,wick_ratio_lower,candle_type,candle_type_name,prev_candle_1,prev_candle_2,prev_candle_3
1/11/2016,OANDA:XAUUSD,1104.161,1108.6215,1093.741,1094.2765,1079.236,1074.445558,56.97604444,14.41234187,1084.301866,1079.802649,4.499217539,-0.431079176,4.930296715,1117.228957,1095.7128,1074.196643,4.4605,10.42,9.8845,4.4605,0.5355,0.664258593,0.299754713,0.035986694,5,Normal Candle Bearish,7,2,2
1/12/2016,OANDA:XAUUSD,1094.2765,1099.3925,1083.577,1086.985,1080.131042,1074.462981,53.21578865,14.51256745,1084.714656,1080.334675,4.37998131,0.531132921,3.848848389,1113.341082,1097.5838,1081.826518,5.116,10.6995,7.2915,5.116,3.408,0.461035061,0.32348013,0.215484809,5,Normal Candle Bearish,5,7,2
1/13/2016,OANDA:XAUUSD,1086.985,1095.661,1079.908,1093.265,1082.1355,1075.310231,55.91445243,14.60116977,1086.030094,1081.292477,4.737616956,1.372429728,3.365187228,1113.343961,1097.5167,1081.689439,8.676,7.077,6.28,2.396,7.077,0.398654225,0.152098013,0.449247762,6,Long Wick Bullish,5,5,7
1/14/2016,OANDA:XAUUSD,1093.265,1095.5445,1071.475,1078.2455,1082.895667,1075.447885,48.68181428,15.27747908,1084.832464,1081.066775,3.765689135,1.851081609,1.914607526,1108.524343,1091.3866,1074.248857,2.2795,21.79,15.0195,2.2795,6.7705,0.624005484,0.094704917,0.281289599,5,Normal Candle Bearish,6,5,5
1/15/2016,OANDA:XAUUSD,1078.2455,1097.515,1076.407,1088.7755,1085.159958,1076.065,53.2477784,15.69394486,1085.439085,1081.637791,3.801293388,2.241123965,1.560169423,1099.743401,1088.3095,1076.875599,19.2695,1.8385,10.53,8.7395,1.8385,0.49886299,0.414037332,0.087099678,6,Long Wick Bullish,5,6,5
1/18/2016,OANDA:XAUUSD,1088.7755,1093.5095,1087.6115,1089.04,1087.504583,1076.745712,53.36003229,14.99423451,1085.993072,1082.186103,3.806968591,2.55429289,1.2526757,1097.17631,1087.2622,1077.34809,4.734,1.164,0.2645,4.4695,1.164,0.04484571,0.757799254,0.197355036,0,Doji Bullish,6,5,6
1/19/2016,OANDA:XAUUSD,1089.04,1094.7285,1082.471,1087.4425,1089.738583,1077.23075,52.53951989,14.79875347,1086.216061,1082.575466,3.640594819,2.771553276,0.869041543,1097.264332,1087.3537,1077.443068,5.6885,6.569,1.5975,5.6885,4.9715,0.13032837,0.464083214,0.405588415,7,Long Wick Bearish,0,6,5
1/20/2016,OANDA:XAUUSD,1087.4425,1109.851,1087.014,1101.059,1091.948042,1078.794615,58.40992505,15.37291394,1088.49959,1083.944617,4.554973262,3.128237273,1.426735989,1103.431957,1088.9125,1074.393043,22.4085,0.4285,13.6165,8.792,0.4285,0.596247318,0.384989272,0.01876341,4,Normal Candle Bullish,7,0,6
1/21/2016,OANDA:XAUUSD,1101.059,1104.6495,1092.528,1101.0915,1093.903167,1080.327904,58.42314379,15.14067009,1090.436807,1085.214756,5.222050695,3.546999958,1.675050737,1105.929141,1093.4817,1081.034259,3.5905,8.531,0.0325,3.558,8.531,0.002681186,0.293528029,0.703790785,0,Doji Bullish,4,7,0
1/22/2016,OANDA:XAUUSD,1101.0915,1102.9665,1094.157,1097.653,1094.240875,1081.313635,56.38137545,14.68844365,1091.54699,1086.136108,5.410882864,3.919776539,1.491106325,1107.027091,1095.2572,1083.487309,1.875,6.9345,3.4385,1.875,3.496,0.390317271,0.212838413,0.396844316,5,Normal Candle Bearish,0,4,7
1/25/2016,OANDA:XAUUSD,1097.653,1109.06,1097.344,1107.87,1094.155375,1083.473769,60.76864119,14.47612625,1094.058223,1087.746025,6.312197151,4.398260661,1.91393649,1112.370208,1099.0232,1085.676192,11.407,0.309,10.217,1.19,0.309,0.872055309,0.101570502,0.026374189,2,Full Body Bullish,5,0,4
1/26/2016,OANDA:XAUUSD,1107.87,1123.0545,1107.139,1120.0405,1095.478667,1085.543404,65.25216459,14.57893866,1098.055496,1090.138209,7.917287295,5.102065988,2.815221307,1121.486868,1105.5428,1089.598732,15.1845,0.731,12.1705,3.014,0.731,0.764694794,0.189375137,0.045930068,2,Full Body Bullish,2,5,0
1/27/2016,OANDA:XAUUSD,1120.0405,1128.1735,1114.965,1124.867,1098.027875,1087.321981,66.86922505,14.48105018,1102.180343,1092.710712,9.469631,5.97557899,3.494052009,1131.42733,1110.3044,1089.18147,8.133,5.0755,4.8265,3.3065,5.0755,0.365408638,0.250331226,0.384260136,4,Normal Candle Bullish,2,2,5
1/28/2016,OANDA:XAUUSD,1124.867,1126.0365,1110.655,1114.916,1100.355458,1088.943154,60.60684687,14.54536803,1104.139675,1094.355548,9.784126711,6.737288535,3.046838177,1132.166707,1113.0693,1093.971893,1.1695,14.212,9.951,1.1695,4.261,0.646946007,0.076032897,0.277021097,5,Normal Candle Bearish,4,2,2
1/29/2016,OANDA:XAUUSD,1114.916,1118.7305,1108.5835,1118.143,1102.428625,1090.777904,61.85444262,14.23119888,1106.294032,1096.117581,10.17645097,7.425121021,2.751329946,1128.481036,1117.1673,1105.853564,3.8145,6.3325,3.227,0.5875,6.3325,0.318025032,0.057898886,0.624076082,6,Long Wick Bullish,5,4,2
2/1/2016,OANDA:XAUUSD,1118.143,1129.946,1115.614,1128.429,1106.610583,1092.785,65.5947718,14.23839896,1109.699412,1098.51102,11.18839218,8.177775253,3.010616929,1130.906245,1121.2791,1111.651955,11.803,2.529,10.286,1.517,2.529,0.717694669,0.105847056,0.176458275,2,Full Body Bullish,6,5,4
2/2/2016,OANDA:XAUUSD,1128.429,1131.2105,1122.344,1128.807,1109.946542,1095.077135,65.72776769,13.85469189,1112.639041,1100.755167,11.88387442,8.918995087,2.964879334,1134.190078,1123.0324,1111.874722,2.7815,6.085,0.378,2.4035,6.085,0.04263238,0.271076524,0.686291096,0,Doji Bullish,2,6,5
2/3/2016,OANDA:XAUUSD,1128.807,1145.6305,1124.519,1142.589,1114.408958,1097.902731,70.2441551,14.37303533,1117.246727,1103.853969,13.39275795,9.813747659,3.579010288,1146.006637,1126.5768,1107.146963,16.8235,4.288,13.782,3.0415,4.288,0.652819553,0.144068399,0.203112048,4,Normal Candle Bullish,0,2,6
2/4/2016,OANDA:XAUUSD,1142.589,1157.4735,1139.3915,1155.6375,1120.091875,1101.519404,73.76868991,14.63796138,1123.153,1107.689786,15.46321361,10.94364085,4.519572761,1160.779498,1134.7211,1108.662702,14.8845,3.1975,13.0485,1.836,3.1975,0.721629245,0.101537441,0.176833315,2,Full Body Bullish,4,0,2
2/5/2016,OANDA:XAUUSD,1155.6375,1174.66,1145.371,1173.5065,1126.129167,1105.85025,77.66948089,15.68446414,1130.899692,1112.565098,18.33459382,12.42183144,5.912762375,1180.031213,1145.7938,1111.556387,19.0225,10.2665,17.869,1.1535,10.2665,0.610092526,0.039383386,0.350524088,4,Normal Candle Bullish,2,4,0
2/8/2016,OANDA:XAUUSD,1173.5065,1200.9675,1164.2965,1189.305,1133.480292,1110.799115,80.43910991,17.18350241,1139.885124,1118.249535,21.63558864,14.26458288,7.371005757,1201.010945,1157.969,1114.927055,27.461,9.21,15.7985,11.6625,9.21,0.430817267,0.318030596,0.251152137,4,Normal Candle Bullish,4,2,4
2/9/2016,OANDA:XAUUSD,1189.305,1199.009,1185.7745,1189.015,1141.093792,1115.201788,80.2423696,16.90143081,1147.443567,1123.491422,23.95214482,16.20209527,7.750049554,1206.934224,1170.0106,1133.086976,9.704,3.5305,0.29,9.704,3.2405,0.021912426,0.733235105,0.244852469,1,Doji Bearish,4,4,2
2/10/2016,OANDA:XAUUSD,1189.015,1197.773,1181.644,1197.3025,1148.5465,1119.804577,81.62546661,16.84625718,1155.114172,1128.958909,26.15526269,18.19272875,7.962533937,1210.59628,1180.9533,1151.31032,8.758,7.371,8.2875,0.4705,7.371,0.513826028,0.029171058,0.457002914,6,Long Wick Bullish,1,4,4
2/11/2016,OANDA:XAUUSD,1197.3025,1263.436,1195.946,1246.798,1159.109625,1125.696788,87.33001025,20.46366738,1169.219376,1137.687731,31.53164549,20.8605121,10.67113339,1249.233139,1199.1854,1149.137661,66.1335,1.3565,49.4955,16.638,1.3565,0.733375315,0.246525411,0.020099274,2,Full Body Bullish,6,1,4
2/12/2016,OANDA:XAUUSD,1246.798,1248.3805,1232.4815,1237.951,1168.533292,1130.660442,82.40536373,20.13761971,1179.793472,1145.114639,34.67883264,23.62417621,11.05465643,1262.223815,1212.0743,1161.924785,1.5825,14.3165,8.847,1.5825,5.4695,0.556450091,0.099534562,0.344015347,5,Normal Candle Bearish,2,6,1
2/15/2016,OANDA:XAUUSD,1237.951,1237.951,1202.228,1209.3815,1176.405417,1134.707385,68.8943885,21.25086116,1184.345476,1149.875148,34.47032875,25.79340672,8.676922031,1261.27291,1216.0896,1170.90629,0,35.723,28.5695,0,7.1535,0.799750861,0,0.200249139,3,Full Body Bearish,5,2,6
2/16/2016,OANDA:XAUUSD,1209.3815,1217.162,1190.9975,1200.0915,1183.234458,1138.777192,65.15356548,21.60183536,1186.767942,1153.594877,33.17306412,27.2693382,5.903725921,1258.804597,1218.3049,1177.805203,7.7805,18.384,9.29,7.7805,9.094,0.355061247,0.297368572,0.347570181,5,Normal Candle Bearish,3,5,2
2/17/2016,OANDA:XAUUSD,1200.0915,1213.8895,1195.79,1208.534,1189.909875,1143.452154,66.9118757,21.35166855,1190.116566,1157.664442,32.45212386,28.30589533,4.146228533,1257.2055,1220.5512,1183.8969,13.798,4.3015,8.4425,5.3555,4.3015,0.466449349,0.295892152,0.237658499,4,Normal Candle Bullish,5,3,5
2/18/2016,OANDA:XAUUSD,1208.534,1240.021,1200.843,1231.0675,1198.431583,1148.75225,71.10301378,22.62497794,1196.41671,1163.101706,33.31500402,29.30771707,4.007286951,1246.410348,1217.4051,1188.399852,31.487,7.691,22.5335,8.9535,7.691,0.575156976,0.228533871,0.196309153,4,Normal Candle Bullish,4,5,3
2/19/2016,OANDA:XAUUSD,1231.0675,1234.666,1220.1055,1226.326,1205.409667,1154.447654,69.11906942,22.0489438,1201.018139,1167.784987,33.23315224,30.0928041,3.14034814,1238.439052,1215.0801,1191.721148,3.5985,10.962,4.7415,3.5985,6.2205,0.32564129,0.247141238,0.427217472,7,Long Wick Bearish,4,4,5
2/22/2016,OANDA:XAUUSD,1226.326,1226.384,1202.046,1208.908,1209.848875,1159.068135,62.24786094,22.21244782,1202.231964,1170.831136,31.40082789,30.35440886,1.04641903,1238.439641,1214.9854,1191.531159,0.058,24.28,17.418,0.058,6.862,0.715670967,0.002383105,0.281945928,3,Full Body Bearish,7,4,4
2/23/2016,OANDA:XAUUSD,1208.908,1228.355,1207.29,1227.121,1214.31675,1164.378942,66.04854303,22.13048726,1206.061046,1175.000755,31.06029083,30.49558525,0.564705576,1239.719052,1220.3913,1201.063548,19.447,1.618,18.213,1.234,1.618,0.864609542,0.058580584,0.076809874,2,Full Body Bullish,3,7,4
2/24/2016,OANDA:XAUUSD,1227.121,1253.378,1222.006,1229.0185,1217.626208,1169.824173,66.42775785,22.79059531,1209.592962,1179.00207,30.59089238,30.51464668,0.076245703,1240.409571,1224.4882,1208.566829,26.257,5.115,1.8975,24.3595,5.115,0.060483871,0.776472651,0.163043478,0,Doji Bullish,2,3,7
2/25/2016,OANDA:XAUUSD,1229.0185,1243.542,1221.2405,1233.1685,1221.305667,1174.905308,67.2883171,22.75565993,1213.219968,1183.014398,30.20557004,30.45283135,-0.247261312,1241.594686,1224.9084,1208.222114,14.5235,7.778,4.15,10.3735,7.778,0.186086138,0.465148084,0.348765778,6,Long Wick Bullish,0,2,3
2/26/2016,OANDA:XAUUSD,1233.1685,1240.494,1211.5645,1222.997,1223.446875,1179.593981,63.02419782,23.19664851,1214.724127,1185.976072,28.74805459,30.111876,-1.363821414,1240.915154,1224.2426,1207.570046,7.3255,21.604,10.1715,7.3255,11.4325,0.351596122,0.253219032,0.395184846,5,Normal Candle Bearish,6,0,2
2/29/2016,OANDA:XAUUSD,1222.997,1241.28,1215.759,1238.6045,1222.764083,1185.015192,66.52920367,23.36267362,1218.39803,1189.874474,28.5235561,29.79421202,-1.270655919,1240.847935,1230.1819,1219.515865,18.283,7.238,15.6075,2.6755,7.238,0.61155519,0.104835234,0.283609576,4,Normal Candle Bullish,5,6,0
3/1/2016,OANDA:XAUUSD,1238.6045,1248.6615,1227.281,1232.168,1222.282167,1189.795885,63.8415359,23.22108979,1220.516487,1193.007328,27.50915921,29.33720146,-1.828042246,1241.455272,1231.1913,1220.927328,10.057,11.3235,6.4365,10.057,4.887,0.301045345,0.47038189,0.228572765,7,Long Wick Bearish,4,5,6
3/2/2016,OANDA:XAUUSD,1232.168,1244.2495,1224.868,1239.983,1224.832292,1194.409058,65.65572083,22.94683337,1223.511335,1196.487007,27.02432793,28.87462675,-1.850298825,1245.391374,1233.3842,1221.377026,12.0815,7.3,7.815,4.2665,7.3,0.403219565,0.220132601,0.376647834,4,Normal Candle Bullish,7,4,5
3/3/2016,OANDA:XAUUSD,1239.983,1268.519,1237.567,1264.7735,1230.222458,1199.790077,70.68101509,23.51863099,1229.859361,1201.545266,28.31409455,28.76252031,-0.448425762,1267.4999,1239.7052,1211.9105,28.536,2.416,24.7905,3.7455,2.416,0.800933704,0.121009951,0.078056345,2,Full Body Bullish,4,7,4
3/4/2016,OANDA:XAUUSD,1264.7735,1279.9235,1250.168,1259.277,1234.451042,1205.342423,68.29495517,23.96412163,1234.385151,1205.821691,28.56346048,28.72270835,-0.159247861,1272.359238,1246.9612,1221.563162,15.15,14.6055,5.4965,15.15,9.109,0.184722152,0.509149569,0.306128279,7,Long Wick Bearish,2,4,7
3/7/2016,OANDA:XAUUSD,1259.277,1273.2915,1256.7525,1267.4265,1237.480958,1211.084096,69.91652617,23.4337558,1239.468436,1210.38501,29.0834257,28.79485182,0.288573882,1280.856408,1252.7256,1224.594792,14.0145,2.5245,8.1495,5.865,2.5245,0.492744422,0.354616361,0.152639216,4,Normal Candle Bullish,7,2,4
3/8/2016,OANDA:XAUUSD,1267.4265,1278.217,1260.338,1261.5965,1240.420167,1216.205923,67.26603889,23.03698753,1242.872753,1214.178454,28.69429958,28.77474137,-0.080441792,1278.044233,1258.6113,1239.178367,10.7905,7.0885,5.83,10.7905,1.2585,0.326080877,0.60352928,0.070389843,7,Long Wick Bearish,4,7,2
3/9/2016,OANDA:XAUUSD,1261.5965,1265.047,1243.055,1253.0905,1244.102042,1220.986058,63.48461077,22.96234556,1244.444714,1217.060828,27.38388681,28.49657046,-1.112683649,1271.077716,1261.2328,1251.387884,3.4505,18.5415,8.506,3.4505,10.0355,0.38677701,0.156897963,0.456325027,7,Long Wick Bearish,7,4,7
3/10/2016,OANDA:XAUUSD,1253.0905,1273.4855,1237.0325,1272.2765,1247.865,1225.974038,67.87183349,23.92596374,1248.726528,1221.150877,27.57565017,28.3123864,-0.736736226,1275.979402,1262.7334,1249.487398,20.395,16.058,19.186,1.209,16.058,0.526321565,0.033165995,0.440512441,6,Long Wick Bullish,7,7,4
3/11/2016,OANDA:XAUUSD,1272.2765,1284.979,1248.455,1250.3545,1249.643,1229.617,59.13000853,24.82582347,1248.976985,1223.314109,25.66287617,27.78248435,-2.119608184,1277.554657,1260.9489,1244.343143,12.7025,23.8215,21.922,12.7025,1.8995,0.600208082,0.347785018,0.0520069,5,Normal Candle Bearish,6,7,7
3/14/2016,OANDA:XAUUSD,1250.3545,1261.1565,1229.376,1235.2065,1249.812833,1231.990077,53.9583375,25.32258608,1246.858449,1224.195027,22.66342217,26.75867192,-4.095249751,1279.126438,1254.5049,1229.883362,10.802,20.9785,15.148,10.802,5.8305,0.476644483,0.33989396,0.183461557,5,Normal Candle Bearish,5,6,7
3/15/2016,OANDA:XAUUSD,1235.2065,1238.242,1225.664,1232.681,1250.619833,1233.658385,53.124097,24.4122585,1244.677303,1224.823617,19.85368558,25.37767465,-5.523989065,1277.239103,1248.7218,1220.204497,3.0355,9.5425,2.5255,3.0355,7.017,0.200787089,0.241334075,0.557878836,7,Long Wick Bearish,5,5,6
3/16/2016,OANDA:XAUUSD,1232.681,1264.0485,1226.7395,1262.3405,1252.597833,1236.478596,60.79099474,25.33345432,1247.394718,1227.602646,19.79207219,24.26055416,-4.468481969,1281.111174,1250.5718,1220.032426,31.3675,5.9415,29.6595,1.708,5.9415,0.794969042,0.045779839,0.159251119,2,Full Body Bullish,7,5,5
